title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,cluster
Halo 2 Multiplayer Map Pack,XB,Shooter,Microsoft Game Studios,Bungie Studios,8.6,0.69,0.54,0.0,0.13,0.02,2005-07-05,2018-10-11,2
The Evil Within,XOne,Misc,Bethesda Softworks,Tango Gameworks,7.9,0.69,0.36,0.0,0.27,0.06,2014-10-14,2018-03-13,4
NHL 13,X360,Sports,Electronic Arts,EA Canada,8.2,0.68,0.51,0.0,0.11,0.06,2012-09-11,2018-03-21,1
F1 2015,PS4,Racing,Codemasters,Codemasters Birmingham,5.9,0.68,0.1,0.04,0.45,0.1,2015-07-21,2018-05-23,0
Rayman Legends,WiiU,Platform,Ubisoft,Ubisoft Montpellier,9.5,0.68,0.25,0.03,0.35,0.05,2013-09-03,2019-01-02,2
Diablo III: Eternal Collection,NS,Action,Blizzard Entertainment,Blizzard Entertainment,9.0,0.67,0.38,0.01,0.22,0.06,2018-11-02,2018-09-13,2
Call of Duty: Ghosts,PC,Shooter,Activision,Infinity Ward,8.8,0.67,0.26,0.0,0.36,0.05,2013-11-05,2018-03-21,2
Disney Infinity,WiiU,Action-Adventure,Disney Interactive Studios,Avalanche Software,7.6,0.67,0.37,0.0,0.24,0.06,2013-08-18,2018-01-30,3
Book of Spells,PS3,Misc,Sony Computer Entertainment,SCEE London Studio,6.5,0.66,0.16,0.0,0.4,0.11,2012-11-13,2018-12-03,4
Fist of the North Star: Ken's Rage,PS3,Action,Tecmo Koei,Tecmo Koei Games,4.8,0.66,0.06,0.55,0.03,0.01,2010-11-02,2018-07-30,0
2014 FIFA World Cup Brazil,PS3,Sports,EA Sports,EA Canada,7.9,0.66,0.15,0.01,0.4,0.1,2014-04-15,2018-03-22,1
NHL 13,PS3,Sports,Electronic Arts,EA Canada,8.3,0.66,0.33,0.0,0.23,0.1,2012-09-11,2018-03-21,1
LEGO City Undercover,NS,Platform,Warner Bros. Interactive Entertainment,TT Fusion,8.0,0.65,0.23,0.03,0.33,0.05,2017-04-04,2018-02-24,4
Far Cry 4,PC,Shooter,Ubisoft,Ubisoft Montreal,8.5,0.65,0.19,0.0,0.41,0.05,2014-11-18,2018-01-23,2
Dead or Alive 5,PS3,Fighting,Tecmo Koei,Team Ninja,7.6,0.65,0.23,0.21,0.15,0.07,2015-02-17,2018-01-23,4
Just Dance 2014,WiiU,Music,Ubisoft,Ubisoft Paris,7.5,0.64,0.34,0.0,0.25,0.06,2013-10-08,2018-03-08,4
Dead Island: Riptide,PS3,Action,Deep Silver,Techland,6.6,0.64,0.26,0.07,0.21,0.1,2013-04-23,2018-03-15,4
LEGO The Incredibles,NS,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,6.5,0.63,0.35,0.01,0.21,0.06,2018-06-15,2018-11-06,4
Shin Megami Tensei: Persona 3 FES,PS2,Role-Playing,Atlus,Atlus,8.7,0.63,0.22,0.16,0.2,0.05,2008-04-22,2018-01-11,2
XCOM: Enemy Unknown,X360,Sports,2K Games,Firaxis Games,8.8,0.63,0.36,0.0,0.22,0.06,2012-10-09,2018-03-22,1
Assassin's Creed IV: Black Flag,PC,Action-Adventure,Ubisoft,Ubisoft Montreal,8.5,0.63,0.24,0.0,0.34,0.05,2013-11-19,2018-03-14,3
Ape Escape 2,PS2,Platform,Ubisoft,SCE Japan Studio,8.0,0.63,0.12,0.38,0.09,0.03,2003-06-30,2018-09-16,4
LEGO Pirates of the Caribbean: The Video Game,3DS,Action,Disney Interactive Studios,TT Fusion,7.0,0.63,0.29,0.0,0.28,0.06,2011-05-10,2018-01-08,4
F1 2017,PS4,Racing,Deep Silver,Codemasters,8.0,0.62,0.04,0.02,0.47,0.09,2017-08-25,2018-05-23,2
World of Final Fantasy,PS4,Role-Playing,Square Enix,Square Enix,6.7,0.62,0.24,0.09,0.21,0.09,2016-10-25,2018-05-23,4
Final Fantasy Explorers,3DS,Role-Playing,Square Enix,Square Enix,7.3,0.59,0.17,0.29,0.1,0.03,2016-01-26,2018-01-08,4
XCOM: Enemy Unknown,PS3,Strategy,2K Games,Firaxis Games,9.1,0.59,0.25,0.0,0.24,0.1,2012-10-09,2018-03-22,2
Metal Gear Solid V: Ground Zeroes,PS3,Action-Adventure,Konami Digital Entertainment,Kojima Productions,8.5,0.59,0.13,0.28,0.13,0.05,2014-03-18,2018-03-22,3
Skylanders: SuperChargers,WiiU,Action-Adventure,Activision,Vicarious Visions,8.0,0.59,0.32,0.0,0.22,0.05,2015-09-20,2018-04-06,3
Disney Magic World 2,3DS,Simulation,Nintendo,High Horse Entertainment,7.5,0.58,0.07,0.23,0.25,0.02,2016-10-14,2018-01-08,4
Call of Duty: Modern Warfare Remastered,PS4,Shooter,Activision,Infinity Ward,7.9,0.58,0.17,0.03,0.3,0.09,2017-06-27,2018-01-14,2
F1 2013,PS3,Racing,Codemasters,Codemasters Birmingham,7.7,0.58,0.01,0.03,0.47,0.08,2013-10-08,2018-05-24,4
LEGO Worlds,NS,Misc,Warner Bros. Interactive Entertainment,Traveller's Tales,5.0,0.58,0.21,0.0,0.33,0.04,2017-09-05,2018-02-25,0
Kirby and the Rainbow Curse,WiiU,Platform,Nintendo,HAL Laboratory,8.2,0.58,0.26,0.13,0.14,0.04,2015-02-20,2018-03-20,4
StarCraft II: Legacy of the Void,PC,Strategy,Blizzard Entertainment,Blizzard Entertainment,8.8,0.57,0.23,0.0,0.3,0.05,2015-11-10,2018-06-25,2
Starlink: Battle for Atlas,NS,Action-Adventure,Ubisoft,Ubisoft Toronto,7.5,0.57,0.35,0.0,0.17,0.05,2018-10-16,2019-03-22,3
Ultra Street Fighter II: The Final Challengers,NS,Fighting,Capcom,Capcom,7.0,0.57,0.22,0.09,0.22,0.04,2017-05-26,2018-01-04,4
Xenoblade Chronicles,3DS,Role-Playing,Nintendo,Monolith Soft,8.6,0.56,0.24,0.13,0.15,0.04,2015-04-10,2018-01-15,2
Everybody's Golf,PS4,Sports,Sony Interactive Entertainment,Clap Hanz,8.1,0.56,0.12,0.17,0.22,0.06,2017-08-29,2018-09-23,1
Metroid: Samus Returns,3DS,Action-Adventure,Nintendo,Mercury Steam,9.1,0.56,0.3,0.07,0.15,0.05,2017-09-15,2018-09-21,3
Odin Sphere,PS2,Role-Playing,Atlus,Vanillaware,8.0,0.56,0.23,0.09,0.18,0.06,2007-05-22,2019-01-10,2
